"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Uchl1",4.95636852021691e-41,2.19123583000327,0.318,0.037,1.4098885892609e-36,"12","Uchl1","N/A"
"Ndn",1.06825245128948e-14,2.1846617553389,0.111,0.012,3.03875092293806e-10,"12","Ndn","N/A"
"Laptm4b",1.98895638896767e-12,2.18162285963296,0.116,0.016,5.65778534405742e-08,"12","Laptm4b","N/A"
"Ywhag.3",4.35975705464406e-41,2.17959455193014,0.394,0.061,1.24017649176405e-36,"12","Ywhag","N/A"
"Bex2",6.61299013794981e-37,2.17250325127972,0.273,0.029,1.8811311746412e-32,"12","Bex2","N/A"
"Wasf1",4.72466209855153e-14,2.1657995379307,0.111,0.013,1.34397738055397e-09,"12","Wasf1","N/A"
"Impact",1.88988305933214e-16,2.16162086959474,0.141,0.019,5.3759613505762e-12,"12","Impact","N/A"
"Got1",1.30888015007954e-17,2.1368708869955,0.157,0.021,3.72324047491625e-13,"12","Got1","N/A"
"Map7d2",2.12701601013756e-23,2.1279211757555,0.162,0.016,6.05050974243731e-19,"12","Map7d2","N/A"
"Fbxo9",1.63986577874361e-10,2.12720126069433,0.111,0.018,4.66476219421407e-06,"12","Fbxo9","N/A"
"Lsamp.1",3.94259049446696e-27,2.1202577003233,0.268,0.041,1.12150929205607e-22,"12","Lsamp","N/A"
"Zcchc18",3.12322573733363e-26,2.10064378354875,0.197,0.022,8.88432793241926e-22,"12","Zcchc18","N/A"
"Flywch1",1.35565921772412e-13,2.09217462342411,0.121,0.016,3.85630821073804e-09,"12","Flywch1","N/A"
"Eef1a2",2.01667755095719e-26,2.09036702574766,0.162,0.012,5.73664096145282e-22,"12","Eef1a2","N/A"
"Cplx2",3.94649852582666e-16,2.0686461877273,0.101,0.009,1.12262097065665e-11,"12","Cplx2","N/A"
"Pvalb",1.69649866644849e-23,2.0589586955839,0.126,0.009,4.82586010657939e-19,"12","Pvalb","Interneuron Marker"
"Lancl1",4.72269042349133e-16,2.05650136594636,0.141,0.02,1.34341651786634e-11,"12","Lancl1","N/A"
"Sv2a",2.06404951818118e-17,2.04977186576961,0.177,0.028,5.8713952594182e-13,"12","Sv2a","N/A"
"Rora",1.04481503794154e-18,2.04660849445389,0.157,0.02,2.97208085692852e-14,"12","Rora","N/A"
"Sh3gl2",5.14582914713097e-18,2.04577747101971,0.126,0.013,1.46378255919288e-13,"12","Sh3gl2","N/A"
"Usp33",1.01018543846369e-12,2.00864760192348,0.116,0.016,2.87357349825381e-08,"12","Usp33","N/A"
"Ahi1",9.09055855550321e-13,2.00335631254483,0.106,0.013,2.58590028669844e-08,"12","Ahi1","N/A"
"Mdh1.4",9.79317824595006e-49,1.99839175949674,0.47,0.077,2.78576748384295e-44,"12","Mdh1","N/A"
"Scg5",4.40057514734785e-29,1.98704447052166,0.197,0.019,1.25178760641457e-24,"12","Scg5","N/A"
"Pbx1",9.06184998475542e-11,1.97224391850297,0.121,0.022,2.57773384666353e-06,"12","Pbx1","N/A"
"Camk2b",2.45692086837625e-26,1.96861592183413,0.167,0.014,6.98895710218307e-22,"12","Camk2b","N/A"
"Trim37",1.84251321100257e-12,1.96196463845002,0.101,0.012,5.24121308001792e-08,"12","Trim37","N/A"
"Chgb",6.0265710809543e-26,1.95436320227123,0.177,0.017,1.71431840968826e-21,"12","Chgb","N/A"
"Chn1",1.50249064287114e-37,1.94992025909003,0.288,0.034,4.27398488271125e-33,"12","Chn1","N/A"
"Pls3",1.43178880495218e-14,1.94041473510658,0.111,0.013,4.07286643456698e-10,"12","Pls3","N/A"
"Cyfip2",2.66562255202699e-14,1.93855244860713,0.116,0.015,7.58262991149597e-10,"12","Cyfip2","N/A"
"Ntm",1.86968622592264e-19,1.88604470870879,0.162,0.021,5.31850943825956e-15,"12","Ntm","N/A"
"Khdrbs3",1.00751151283261e-14,1.8857322859372,0.111,0.014,2.86596724940365e-10,"12","Khdrbs3","N/A"
"Gria2.1",9.59524228217169e-24,1.88321733727985,0.202,0.027,2.72946261958656e-19,"12","Gria2","N/A"
"Serinc1.3",3.0835962285894e-29,1.86656549174857,0.359,0.074,8.7715978318454e-25,"12","Serinc1","N/A"
"Bmerb1",6.61864637393327e-17,1.86150275529679,0.141,0.018,1.88274014752906e-12,"12","Bmerb1","N/A"
"Psd3",4.53352513341247e-10,1.86046376059424,0.101,0.016,1.28960655945051e-05,"12","Psd3","N/A"
"Rab6a.3",1.75473675969658e-44,1.8572276828142,0.47,0.087,4.9915241866329e-40,"12","Rab6a","N/A"
"Scrn1",1.58275874859714e-18,1.8330594765969,0.167,0.024,4.50231553625941e-14,"12","Scrn1","N/A"
"Oxr1",1.53141133511189e-21,1.83304229706701,0.207,0.032,4.35625268385928e-17,"12","Oxr1","N/A"
"Sptan1",8.14557107941272e-17,1.81771575398887,0.177,0.03,2.31708914924974e-12,"12","Sptan1","N/A"
"Ccdc136",7.32310488799899e-14,1.81737605603306,0.101,0.011,2.08313041644019e-09,"12","Ccdc136","N/A"
"Usp7",8.99856756675297e-11,1.81016175746224,0.121,0.023,2.55973253003855e-06,"12","Usp7","N/A"
"Kifap3",2.38303456085251e-22,1.80125925661135,0.197,0.028,6.77878011180105e-18,"12","Kifap3","N/A"
"Mrps26",9.04092148842699e-11,1.79378893563328,0.121,0.022,2.57178052659794e-06,"12","Mrps26","N/A"
"Camta1",2.10416003002977e-20,1.78424458546571,0.177,0.025,5.98549362142268e-16,"12","Camta1","N/A"
"Copg1",6.00450420286458e-19,1.77906815326419,0.172,0.026,1.70804126554686e-14,"12","Copg1","N/A"
"Atp6v1h",5.82692571090903e-11,1.77859736081258,0.111,0.018,1.65752728772518e-06,"12","Atp6v1h","N/A"
"Gabarapl1.2",1.09225715849482e-45,1.777239323229,0.424,0.068,3.10703471305437e-41,"12","Gabarapl1","N/A"
"Itfg1",6.67362948545871e-09,1.77419930012748,0.106,0.02,0.000189838064343358,"12","Itfg1","N/A"
"Rnf14",5.22062003422425e-17,1.76729913775403,0.157,0.023,1.48505757493543e-12,"12","Rnf14","N/A"
"Wasl",5.52049246905687e-10,1.75631070252902,0.101,0.017,1.57035928774792e-05,"12","Wasl","N/A"
"Emc7",9.83136069511386e-11,1.72999949949358,0.116,0.021,2.79662886333209e-06,"12","Emc7","N/A"
"Fbxw7",1.96306411986395e-16,1.72715978707987,0.141,0.019,5.584132195365e-12,"12","Fbxw7","N/A"
"Strbp",6.37871241496288e-15,1.72678604457137,0.126,0.017,1.81448853356034e-10,"12","Strbp","N/A"
"Magee1",2.39453078432573e-16,1.72607783699043,0.121,0.013,6.81148226909297e-12,"12","Magee1","N/A"
"Pfkm",1.20595576554493e-15,1.72297501302758,0.157,0.026,3.43046177066912e-11,"12","Pfkm","N/A"
"Atp6v1b2.2",3.08876241271024e-24,1.71254747277401,0.298,0.061,8.78629355919555e-20,"12","Atp6v1b2","N/A"
"Ensa",2.04025409121249e-16,1.70861667783194,0.167,0.028,5.80370678786304e-12,"12","Ensa","N/A"
"Epb41l1",1.01459185669739e-11,1.69912620189923,0.106,0.016,2.8861079955614e-07,"12","Epb41l1","N/A"
